,Title,URL,Rent,Min.Rent,Max.Rent,Unit.Label,Street.Address,Postal.Code,Amenities,Room.Count,lat,lng,accuracy,GoogleHumanReadable,Tract,GEOID10,NAMELSAD10,Opp_Area
1506,"1037 N Wood St Unit 3R, Chicago, IL",https://www.apartments.com/1037-n-wood-st-chicago-il/7nt75nw/,"$1,700","1,700","1,700",2 Bed,1037 N Wood St Unit 3R,60622,Laundry Facilities,2 Bed,41.900721,-87.671972,ROOFTOP,"1037 N Wood St #3r, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2098,"819 N Wood St Unit 3, Chicago, IL",https://www.apartments.com/819-n-wood-st-chicago-il/m1fhznj/,"$2,500","2,500","2,500",3 Bed,819 N Wood St Unit 3,60622,Laundry Facilities,3 Bed,41.8966266,-87.6719024,ROOFTOP,"819 N Wood St #3, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2320,"918 N Paulina St, Chicago, IL",https://www.apartments.com/918-n-paulina-st-chicago-il/fs96gqs/,"$2,500","2,500","2,500",3 Bed,918 N Paulina St,60622,Laundry Facilities,3 Bed,41.899106,-87.670142,ROOFTOP,"918 N Paulina St, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2452,"873 N Paulina St Unit 1F, Chicago, IL",https://www.apartments.com/873-n-paulina-st-chicago-il/g8e4htx/,"$2,100","2,100","2,100",3 Bed,873 N Paulina St Unit 1F,60622,,3 Bed,41.898088,-87.66941,ROOFTOP,"873 N Paulina St #1f, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2625,"1126 N Wood St, Chicago, IL",https://www.apartments.com/1126-n-wood-st-chicago-il/w4e0ffl/,"$3,200","3,200","3,200",3 Bed,1126 N Wood St,60622,,3 Bed,41.9022705,-87.6723533,RANGE_INTERPOLATED,"1126 N Wood St, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2628,"1117 N Wood St, Chicago, IL",https://www.apartments.com/1117-n-wood-st-chicago-il/1z925q4/,"$3,200","3,200","3,200",3 Bed,1117 N Wood St,60622,,3 Bed,41.90196,-87.672001,ROOFTOP,"1117 N Wood St, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
2711,"1013 N Marshfield Ave Unit 1R, Chicago, IL",https://www.apartments.com/1013-n-marshfield-ave-chicago-il/3b2s3ne/,"$2,600","2,600","2,600",3 Bed,1013 N Marshfield Ave Unit 1R,60622,"Washer/Dryer,Smoke Free",3 Bed,41.9001329,-87.668242,ROOFTOP,"1013 N Marshfield Ave #1r, Chicago, IL 60622, USA",17031242100,17031242100,Census Tract 2421,Yes
1313,"1819 Lofts, Chicago, IL",https://www.apartments.com/1819-lofts-chicago-il/yk7x9kr/,"$2,375","2,375","2,375",1 Bed,1819 W Division St,60622,"Blue Line,Botique,Brand New Never Before Before Lived In,Budget Friendly,Condo Quality,Convertibles,Elevator,Grilling Deck,Luxury,Modern Design,One Bedrooms,Parking,Rooftop Deck,Skyline Views,Studios,Two Bedrooms,Two Plus Dens,Ukranian Village,West Village,Wicker Park Apartments,$20 Monthly Pet Rent,$150 Fee,2 Pet Limit,Must Be Spayed/Neutered,2 Pet Limit,Built in 2016,36 Units/5 Stories,Controlled Access,Renters Insurance Program,Planned Social Activities,Health Club Discount,Rooftop Lounge,Grill,Picnic Area,Bike Storage,High Speed Internet Access,Wi-Fi,Washer/Dryer,Air Conditioning,Heating,Tub/Shower,Wheelchair Accessible (Rooms),Dishwasher,Ice Maker,Granite Countertops,Stainless Steel Appliances,Island Kitchen,Kitchen,Microwave,Refrigerator,Freezer,Hardwood Floors,Crown Molding,Views,Walk-In Closets,Double Pane Windows,Window Coverings,Accent Walls,Balcony,Deck,Barbecue Area,Barbecue/Grill",1 Bed,41.902912,-87.673197,ROOFTOP,"1819 W Division St, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
1604,"816 N Wood St Unit 3N, Chicago, IL",https://www.apartments.com/816-n-wood-st-chicago-il/f0lbjcs/,"$3,200","3,200","3,200",Condo for Rent,816 N Wood St Unit 3N,60622,Washer/Dryer,2 Bed,41.8965456,-87.6724158,ROOFTOP,"816 N Wood St #3n, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
1725,"1121 N Winchester Ave Unit Unt 1, Chicago, IL",https://www.apartments.com/1121-n-winchester-ave-chicago-il/g5d8mnz/,"$2,200","2,200","2,200",2 Bed,1121 N Winchester Ave Unit Unt 1,60622,Laundry Facilities,2 Bed,41.902056,-87.675636,ROOFTOP,"1121 N Winchester Ave #1, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
1777,"1038 N Wood St Unit 3, Chicago, IL",https://www.apartments.com/1038-n-wood-st-chicago-il/64vg5et/,"$1,950","1,950","1,950",2 Bed,1038 N Wood St Unit 3,60622,"Laundry Facilities,Smoke Free",2 Bed,41.9007639,-87.6725808,ROOFTOP,"1038 N Wood St #3, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
2670,"1100 N Wood St Unit 3, Chicago, IL",https://www.apartments.com/1100-n-wood-st-chicago-il/rqcb6j2/,"$3,200","3,200","3,200",3 Bed,1100 N Wood St Unit 3,60622,Washer/Dryer,3 Bed,41.9014518,-87.6723577,ROOFTOP,"1100 N Wood St #3, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
2683,"1100 N Wood St Unit 3F, Chicago, IL",https://www.apartments.com/1100-n-wood-st-chicago-il/rkd84g0/,"$3,200","3,200","3,200",3 Bed,1100 N Wood St Unit 3F,60622,Washer/Dryer,3 Bed,41.9014518,-87.6723577,ROOFTOP,"1100 N Wood St #3f, Chicago, IL 60622, USA",17031242200,17031242200,Census Tract 2422,Yes
1543,"2053 W Iowa St Unit 1, Chicago, IL",https://www.apartments.com/2053-w-iowa-st-chicago-il/0mhr2v2/,"$1,650","1,650","1,650",2 Bed,2053 W Iowa St Unit 1,60622,Laundry Facilities,2 Bed,41.8975539,-87.679139,ROOFTOP,"2053 W Iowa St #1, Chicago, IL 60622, USA",17031242300,17031242300,Census Tract 2423,Yes
1823,"1024 N Damen Ave Unit 6, Chicago, IL",https://www.apartments.com/1024-n-damen-ave-chicago-il/2kmfpv9/,"$1,900","1,900","1,900",2 Bed,1024 N Damen Ave Unit 6,60622,,2 Bed,41.9003027,-87.6774168,ROOFTOP,"1024 N Damen Ave #6, Chicago, IL 60622, USA",17031242300,17031242300,Census Tract 2423,Yes
2788,"2047 W Walton St, Chicago, IL",https://www.apartments.com/2047-w-walton-st-chicago-il/y95ew1s/,"$4,495","4,495","4,495",House for Rent,2047 W Walton St,60622,Washer/Dryer,4 Bed,41.898355,-87.678929,ROOFTOP,"2047 W Walton St, Chicago, IL 60622, USA",17031242300,17031242300,Census Tract 2423,Yes
975,"2306 W Walton St Unit Unt1E, Chicago, IL",https://www.apartments.com/2306-w-walton-st-chicago-il/kedxqv9/,"$1,600","1,600","1,600",1 Bed,2306 W Walton St Unit Unt1E,60622,Washer/Dryer,1 Bed,41.8986569,-87.6848809,ROOFTOP,"2306 W Walton St unt1e, Chicago, IL 60622, USA",17031242400,17031242400,Census Tract 2424,Yes
1567,"2312 W Iowa St, Chicago, IL",https://www.apartments.com/2312-w-iowa-st-chicago-il/d0dlzyk/,"$1,650","1,650","1,650",2 Bed,2312 W Iowa St,60622,Laundry Facilities,2 Bed,41.897847,-87.685082,ROOFTOP,"2312 W Iowa St, Chicago, IL 60622, USA",17031242400,17031242400,Census Tract 2424,Yes
1830,"2347 W Thomas St Unit 3r, Chicago, IL",https://www.apartments.com/2347-w-thomas-st-chicago-il/89lh520/,"$2,000","2,000","2,000",2 Bed,2347 W Thomas St Unit 3r,60622,Laundry Facilities,2 Bed,41.900949,-87.686371,ROOFTOP,"2347 W Thomas St #3r, Chicago, IL 60622, USA",17031242400,17031242400,Census Tract 2424,Yes
2277,"2231 W Walton St, Chicago, IL",https://www.apartments.com/2231-w-walton-st-chicago-il/cblmm3d/,"$2,200","2,200","2,200",3 Bed,2231 W Walton St,60622,Laundry Facilities,3 Bed,41.898268,-87.683294,ROOFTOP,"2231 W Walton St, Chicago, IL 60622, USA",17031242400,17031242400,Census Tract 2424,Yes
2658,"2245 W Cortez St Unit 2, Chicago, IL",https://www.apartments.com/2245-w-cortez-st-chicago-il/82qd810/,"$2,200","2,200","2,200",3 Bed,2245 W Cortez St Unit 2,60622,"Washer/Dryer,Smoke Free",3 Bed,41.90008,-87.683822,ROOFTOP,"2245 W Cortez St #2, Chicago, IL 60622, USA",17031242400,17031242400,Census Tract 2424,Yes
1479,"2540 W Augusta Blvd Unit 1F, Chicago, IL",https://www.apartments.com/2540-w-augusta-blvd-chicago-il/s3pn3g5/,"$1,750","1,750","1,750",2 Bed,2540 W Augusta Blvd Unit 1F,60622,Washer/Dryer,2 Bed,41.8995703,-87.6910836,ROOFTOP,"2540 W Augusta Blvd #1f, Chicago, IL 60622, USA",17031242500,17031242500,Census Tract 2425,No
1710,"901 N Campbell Ave, Chicago, IL",https://www.apartments.com/901-n-campbell-ave-chicago-il/gm4lyfy/,"$2,380","2,380","2,380",2 Bed,901 N Campbell Ave,60622,"Washer/Dryer,Smoke Free",2 Bed,41.8976563,-87.6891378,ROOFTOP,"901 N Campbell Ave, Chicago, IL 60622, USA",17031242500,17031242500,Census Tract 2425,No
1785,"2540 W Augusta Blvd, Chicago, IL",https://www.apartments.com/2540-w-augusta-blvd-chicago-il/0gc84w0/,"$1,700","1,700","1,700",2 Bed,2540 W Augusta Blvd,60622,Washer/Dryer,2 Bed,41.8995703,-87.6910836,ROOFTOP,"2540 W Augusta Blvd, Chicago, IL 60622, USA",17031242500,17031242500,Census Tract 2425,No
2488,"838 N Campbell Ave Unit Unit 2, Chicago, IL",https://www.apartments.com/838-n-campbell-ave-chicago-il/xjef6wp/,"$1,999","1,999","1,999",3 Bed,838 N Campbell Ave Unit Unit 2,60622,,3 Bed,41.896914,-87.689708,ROOFTOP,"838 N Campbell Ave #2, Chicago, IL 60622, USA",17031242500,17031242500,Census Tract 2425,No
1665,"1220 N Washtenaw Ave Unit G, Chicago, IL",https://www.apartments.com/1220-n-washtenaw-ave-chicago-il/f8pbtjr/,"$1,250","1,250","1,250",2 Bed,1220 N Washtenaw Ave Unit G,60622,"Laundry Facilities,Smoke Free",2 Bed,41.9036713,-87.6947607,ROOFTOP,"1220 N Washtenaw Ave g, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
1748,"2641 W Haddon Ave Unit 2r, Chicago, IL",https://www.apartments.com/2641-w-haddon-ave-chicago-il/4lrxl6j/,"$1,100","1,100","1,100",2 Bed,2641 W Haddon Ave Unit 2r,60622,Washer/Dryer,2 Bed,41.9017848,-87.6935825,ROOFTOP,"2641 W Haddon Ave #2r, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
1784,"2612 W Augusta Blvd Unit 1F, Chicago, IL",https://www.apartments.com/2612-w-augusta-blvd-chicago-il/x6vtekp/,"$1,750","1,750","1,750",2 Bed,2612 W Augusta Blvd Unit 1F,60622,Washer/Dryer,2 Bed,41.899584,-87.692424,ROOFTOP,"2612 W Augusta Blvd #1f, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
2371,"1253 N California Ave Unit 3, Chicago, IL",https://www.apartments.com/1253-n-california-ave-chicago-il/s92xsk6/,"$2,000","2,000","2,000",3 Bed,1253 N California Ave Unit 3,60622,Washer/Dryer,3 Bed,41.9044936,-87.6966281,ROOFTOP,"1253 N California Ave #3, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
2420,"2729 W Potomac Ave Unit 2, Chicago, IL",https://www.apartments.com/2729-w-potomac-ave-chicago-il/2cpvdtc/,"$2,000","2,000","2,000",Condo for Rent,2729 W Potomac Ave Unit 2,60622,,3 Bed,41.904518,-87.6956846,ROOFTOP,"2729 W Potomac Ave #2, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
2839,"2728 W Cortez St Unit Unit 2, Chicago, IL",https://www.apartments.com/2728-w-cortez-st-chicago-il/2kb5yj8/,"$2,200","2,200","2,200",Condo for Rent,2728 W Cortez St,60622,,3 Bed,41.9003921,-87.6955742,ROOFTOP,"2728 W Cortez St, Chicago, IL 60622, USA",17031242600,17031242600,Census Tract 2426,No
1621,"835 N Mozart St Unit 2R, Chicago, IL",https://www.apartments.com/835-n-mozart-st-chicago-il/k3js608/,"$1,100","1,100","1,100",2 Bed,835 N Mozart St Unit 2R,60622,Laundry Facilities,2 Bed,41.8967454,-87.6976776,ROOFTOP,"835 N Mozart St #2r, Chicago, IL 60622, USA",17031242700,17031242700,Census Tract 2427,No
1736,"843 N Francisco Ave Unit g2, Chicago, IL",https://www.apartments.com/843-n-francisco-ave-chicago-il/b1hdxk8/,"$1,300","1,300","1,300",2 Bed,843 N Francisco Ave Unit g2,60622,Washer/Dryer,2 Bed,41.896977,-87.698823,ROOFTOP,"843 N Francisco Ave, Chicago, IL 60622, USA",17031242700,17031242700,Census Tract 2427,No
2523,"871 N Richmond St, Chicago, IL",https://www.apartments.com/871-n-richmond-st-chicago-il/y4eh1jv/,"$1,500","1,500","1,500",House for Rent,871 N Richmond St,60622,"Kitchen,Family Room",3 Bed,41.897571,-87.7000531,ROOFTOP,"871 N Richmond St, Chicago, IL 60622, USA",17031242700,17031242700,Census Tract 2427,No
1014,"2455 W Huron St Unit 2, Chicago, IL",https://www.apartments.com/2455-w-huron-st-chicago-il/exlhv1p/,"$1,400","1,400","1,400",1 Bed,2455 W Huron St Unit 2,60612,Washer/Dryer,1 Bed,41.8937133,-87.6888938,ROOFTOP,"2455 W Huron St #2, Chicago, IL 60612, USA",17031242800,17031242800,Census Tract 2428,Yes
1015,"2455 W Huron St, Chicago, IL",https://www.apartments.com/2455-w-huron-st-chicago-il/1mhrvs4/,"$1,400","1,400","1,400",1 Bed,2455 W Huron St,60612,"Washer/Dryer,Smoke Free",1 Bed,41.8937133,-87.6888938,ROOFTOP,"2455 W Huron St, Chicago, IL 60612, USA",17031242800,17031242800,Census Tract 2428,Yes
1061,"708 N Rockwell St Unit 1, Chicago, IL",https://www.apartments.com/708-n-rockwell-st-chicago-il/d7sdxxh/,"$1,500","1,500","1,500",1 Bed,708 N Rockwell St Unit 1,60612,Washer/Dryer,1 Bed,41.894195,-87.691967,ROOFTOP,"708 N Rockwell St #1, Chicago, IL 60612, USA",17031242800,17031242800,Census Tract 2428,Yes
2273,"2417 W Erie St Unit 403, Chicago, IL",https://www.apartments.com/2417-w-erie-st-chicago-il/fm7g9lv/,"$2,900","2,900","2,900",Condo for Rent,2417 W Erie St Unit 403,60612,"Washer/Dryer,Smoke Free",3 Bed,41.8927294,-87.68754,ROOFTOP,"2417 W Erie St #403, Chicago, IL 60612, USA",17031242800,17031242800,Census Tract 2428,Yes
365,"1838 W Chicago Ave, Chicago, IL",https://www.apartments.com/1838-w-chicago-ave-chicago-il/grylxmx/,"$1,650","1,650","1,650",Condo for Rent,1838 W Chicago Ave,60622,Air Conditioning,Studio,41.8959506,-87.6739065,RANGE_INTERPOLATED,"1838 W Chicago Ave, Chicago, IL 60622, USA",17031243100,17031243100,Census Tract 2431,Yes
1049,"1838 W Chicago Ave, Chicago, IL",https://www.apartments.com/1838-w-chicago-ave-chicago-il/zg5nzdz/,"$2,135","2,135","2,135",1 Bed,1838 W Chicago Ave,60622,Washer/Dryer,1 Bed,41.8959506,-87.6739065,RANGE_INTERPOLATED,"1838 W Chicago Ave, Chicago, IL 60622, USA",17031243100,17031243100,Census Tract 2431,Yes
1536,"738 N Wolcott Ave, Chicago, IL",https://www.apartments.com/738-n-wolcott-ave-chicago-il/zey7lhw/,"$1,550","1,550","1,550",2 Bed,738 N Wolcott Ave,60622,Washer/Dryer,2 Bed,41.8952849,-87.6745796,RANGE_INTERPOLATED,"738 N Wolcott Ave, Chicago, IL 60622, USA",17031243100,17031243100,Census Tract 2431,Yes
2429,"1838 W Chicago Ave, Chicago, IL",https://www.apartments.com/1838-w-chicago-ave-chicago-il/lcjgynd/,"$3,000","3,000","3,000",Condo for Rent,1838 W Chicago Ave,60622,Air Conditioning,3 Bed,41.8959506,-87.6739065,RANGE_INTERPOLATED,"1838 W Chicago Ave, Chicago, IL 60622, USA",17031243100,17031243100,Census Tract 2431,Yes
1581,"1645 W Huron St Unit 1R, Chicago, IL",https://www.apartments.com/1645-w-huron-st-chicago-il/r9ct2t1/,"$1,650","1,650","1,650",2 Bed,1645 W Huron St Unit 1R,60622,"Washer/Dryer,Smoke Free",2 Bed,41.8940121,-87.6690307,ROOFTOP,"1645 W Huron St #1r, Chicago, IL 60622, USA",17031243200,17031243200,Census Tract 2432,Yes
2151,"1740 W Huron St Unit 1R, Chicago, IL",https://www.apartments.com/1740-w-huron-st-chicago-il/jy1jxj6/,"$2,495","2,495","2,495",3 Bed,1740 W Huron St Unit 1R,60622,Washer/Dryer,3 Bed,41.8944157,-87.6712861,ROOFTOP,"1740 W Huron St #1r, Chicago, IL 60622, USA",17031243200,17031243200,Census Tract 2432,Yes
2152,"1738 W Huron St Unit 2F, Chicago, IL",https://www.apartments.com/1738-w-huron-st-chicago-il/0x0lfc3/,"$2,500","2,500","2,500",3 Bed,1738 W Huron St Unit 2F,60622,Washer/Dryer,3 Bed,41.894423,-87.671224,ROOFTOP,"1738 W Huron St #2f, Chicago, IL 60622, USA",17031243200,17031243200,Census Tract 2432,Yes
2372,"1740 W Huron St Unit Unt1R, Chicago, IL",https://www.apartments.com/1740-w-huron-st-chicago-il/4fl324h/,"$2,500","2,500","2,500",3 Bed,1740 W Huron St Unit Unt1R,60622,Washer/Dryer,3 Bed,41.8944157,-87.6712861,ROOFTOP,"1740 W Huron St unt1r, Chicago, IL 60622, USA",17031243200,17031243200,Census Tract 2432,Yes
2845,"1656 W Erie St Unit Duplx, Chicago, IL",https://www.apartments.com/1656-w-erie-st-chicago-il/vvrkhpg/,"$3,450","3,450","3,450",4 Bed,1656 W Erie St,60622,Washer/Dryer,4 Bed,41.8935322,-87.669392,ROOFTOP,"1656 W Erie St, Chicago, IL 60622, USA",17031243200,17031243200,Census Tract 2432,Yes
906,"1421 W Huron St Unit 1R, Chicago, IL",https://www.apartments.com/1421-w-huron-st-chicago-il/h2neq22/,"$1,300","1,300","1,300",1 Bed,1421 W Huron St Unit 1R,60642,Laundry Facilities,1 Bed,41.894049,-87.663223,ROOFTOP,"1421 W Huron St #1r, Chicago, IL 60642, USA",17031243300,17031243300,Census Tract 2433,Yes
1123,"1529 W Huron St Unit 3R, Chicago, IL",https://www.apartments.com/1529-w-huron-st-chicago-il/8bcmxp0/,"$1,850","1,850","1,850",1 Bed,1529 W Huron St Unit 3R,60642,Washer/Dryer,1 Bed,41.894,-87.666753,ROOFTOP,"1529 W Huron St #3r, Chicago, IL 60642, USA",17031243300,17031243300,Census Tract 2433,Yes
1681,"1471 W Superior St Unit 2 fl., Chicago, IL",https://www.apartments.com/1471-w-superior-st-chicago-il/shdgvn4/,"$1,500","1,500","1,500",2 Bed,1471 W Superior St Unit 2 fl.,60642,Smoke Free,2 Bed,41.895015,-87.6650635,ROOFTOP,"1471 W Superior St, Chicago, IL 60642, USA",17031243300,17031243300,Census Tract 2433,Yes
1734,"706 N Noble St Unit 3, Chicago, IL",https://www.apartments.com/706-n-noble-st-chicago-il/xn7bstm/,"$1,800","1,800","1,800",2 Bed,706 N Noble St Unit 3,60642,Washer/Dryer,2 Bed,41.894594,-87.662633,ROOFTOP,"706 N Noble St #3, Chicago, IL 60642, USA",17031243300,17031243300,Census Tract 2433,Yes
821,"737 N Noble St, Chicago, IL",https://www.apartments.com/737-n-noble-st-chicago-il/8vxhbw1/,"$1,500","1,500","1,500",1 Bed,737 N Noble St,60642,Laundry Facilities,1 Bed,41.895462,-87.662058,ROOFTOP,"737 N Noble St, Chicago, IL 60642, USA",17031243400,17031243400,Census Tract 2434,Yes
921,"1338 W Huron St Unit 3R, Chicago, IL",https://www.apartments.com/1338-w-huron-st-chicago-il/nfpb6wq/,"$1,700","1,700","1,700",1 Bed,1338 W Huron St Unit 3R,60642,Washer/Dryer,1 Bed,41.8944996,-87.6610746,ROOFTOP,"1338 W Huron St #3r, Chicago, IL 60642, USA",17031243400,17031243400,Census Tract 2434,Yes
1685,"1212 W Hubbard St Unit 3, Chicago, IL",https://www.apartments.com/1212-w-hubbard-st-chicago-il/96y2k35/,"$2,500","2,500","2,500",2 Bed,1212 W Hubbard St Unit 3,60642,Washer/Dryer,2 Bed,41.8901753,-87.6579531,ROOFTOP,"1212 W Hubbard St #3, Chicago, IL 60642, USA",17031243400,17031243400,Census Tract 2434,Yes
2103,"1243 W Erie St Unit 3, Chicago, IL",https://www.apartments.com/1243-w-erie-st-chicago-il/e8blp1q/,"$2,700","2,700","2,700",3 Bed,1243 W Erie St Unit 3,60642,Laundry Facilities,3 Bed,41.8932628,-87.6591566,ROOFTOP,"1243 W Erie St #3, Chicago, IL 60642, USA",17031243400,17031243400,Census Tract 2434,Yes
2394,"1246 W Ohio St Unit 2, Chicago, IL",https://www.apartments.com/1246-w-ohio-st-chicago-il/m17f2wj/,"$2,600","2,600","2,600",3 Bed,1246 W Ohio St Unit 2,60642,Washer/Dryer,3 Bed,41.8927808,-87.6592614,ROOFTOP,"1246 W Ohio St #2, Chicago, IL 60642, USA",17031243400,17031243400,Census Tract 2434,Yes
2,"Kenect Chicago, Chicago, IL",https://www.apartments.com/kenect-chicago-chicago-il/2szehw8/,"$1,800 - 1,985","1,800","1,985",Studio,500 N Milwaukee Ave,60622,"Community Room,Coworking Lounge,Dog Run,Fire Pit,Fitness Center with Cardio Equipment and Free ...,Fitness Center with Cardio Equipment and Free Weights,Landscaped Roof Deck,Outdoor Kitchens,Outdoor Television,Party Room with Kitchen,Social Space,Swimming Pool,Yoga Room,2 Pet Limit,Built in 2016,227 Units/14 Stories,Package Service,Maintenance on site,Concierge,24 Hour Availability,Pet Play Area,Elevator,Business Center,Clubhouse,Lounge,Storage Space,Sundeck,Fitness Center,Free Weights,Pool,Bike Storage,High Speed Internet Access,Washer/Dryer,Air Conditioning,Wheelchair Accessible (Rooms),Breakfast Nook,Balcony",Studio,41.8911996,-87.6476308,RANGE_INTERPOLATED,"500 N Milwaukee Ave, Chicago, IL 60654, USA",17031243500,17031243500,Census Tract 2435,Yes
27,"915 W Huron St, Chicago, IL",https://www.apartments.com/915-w-huron-st-chicago-il/2hgdn58/,"$1,885","1,885","1,885",Studio,915 W Huron St,60642,,Studio,41.894937,-87.6507487,ROOFTOP,"915 W Huron St, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
300,"851 West, Chicago, IL",https://www.apartments.com/851-west-chicago-il/9e99q75/,"$1,600 - 1,900","1,600","1,900",Studio,851-855 W Grand Ave,60642,"24 Hour Emergency Maintenance,9&#39; - 10&#39; ceilings,Additional Storage Available,Air Conditioner,Bike Racks,Butterfly MX Smart Intercom/Access System,Digital Thermostats,Efficient Appliances,Extra Storage,Fiandre Porcelain Tile Bathrooms,Full Size Stainless Steel GE Appliances,Grohe Plumbing Fixtures,High Speed Internet,In-unit Laundry,Isocore Luxury Plank Flooring (&quot;LVT&quot;),Large Closets,Microwave,On-Site Maintenance,Oversized Windows,Package Management Room,Part-time, On-site Management,Pet-friendly,Premium Roller Shades,Pressbox Valet Drycleaning,Private Balconies,Quartz Countertops,Refrigerator,Reserved Parking Available,Saris Indoor Bike Racks,Solid Core, Designer Interior Doors,Spacious Living Areas,$250 Fee,50 lb Weight Limit,1 Pet Limit,$250 Fee,2 Pet Limit,Built in 2017,47 Units/6 Stories,Maintenance on site,Elevator,High Speed Internet Access",Studio,41.8909677,-87.6498513,ROOFTOP,"855 W Grand Ave, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
515,"Mondial River West, Chicago, IL",https://www.apartments.com/mondial-river-west-chicago-il/36sqh1g/,"$1,740 - 2,390","1,740","2,390",Studio,910 W Huron St,60642,"80 lb Weight Limit,80 lb Weight Limit,Built in 2009,Renovated in Mar 2011,142 Units/15 Stories,Maintenance on site,Concierge,Storage Space,Sundeck,Fitness Center,High Speed Internet Access,Washer/Dryer,Air Conditioning,Heating,Smoke Free,Kitchen,Range,Refrigerator,Walk-In Closets,Balcony",Studio,41.8952865,-87.6504916,ROOFTOP,"910 W Huron St, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
674,"Kenect Chicago, Chicago, IL",https://www.apartments.com/kenect-chicago-chicago-il/2szehw8/,"$2,155 - 2,795","2,155","2,795",1 Bed,500 N Milwaukee Ave,60622,"Community Room,Coworking Lounge,Dog Run,Fire Pit,Fitness Center with Cardio Equipment and Free ...,Fitness Center with Cardio Equipment and Free Weights,Landscaped Roof Deck,Outdoor Kitchens,Outdoor Television,Party Room with Kitchen,Social Space,Swimming Pool,Yoga Room,2 Pet Limit,Built in 2016,227 Units/14 Stories,Package Service,Maintenance on site,Concierge,24 Hour Availability,Pet Play Area,Elevator,Business Center,Clubhouse,Lounge,Storage Space,Sundeck,Fitness Center,Free Weights,Pool,Bike Storage,High Speed Internet Access,Washer/Dryer,Air Conditioning,Wheelchair Accessible (Rooms),Breakfast Nook,Balcony",1 Bed,41.8911996,-87.6476308,RANGE_INTERPOLATED,"500 N Milwaukee Ave, Chicago, IL 60654, USA",17031243500,17031243500,Census Tract 2435,Yes
787,"915 W Huron St, Chicago, IL",https://www.apartments.com/915-w-huron-st-chicago-il/vyqgvsd/,"$2,355","2,355","2,355",1 Bed,915 W Huron St,60642,,1 Bed,41.894937,-87.6507487,ROOFTOP,"915 W Huron St, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
991,"930 W Huron St, Chicago, IL",https://www.apartments.com/930-w-huron-st-chicago-il/1rbp737/,"$1,691","1,691","1,691",1 Bed,930 W Huron St,60642,Washer/Dryer,1 Bed,41.8952647,-87.6513716,ROOFTOP,"930 W Huron St, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
1220,"Mondial River West, Chicago, IL",https://www.apartments.com/mondial-river-west-chicago-il/36sqh1g/,"$1,915 - 2,640","1,915","2,640",1 Bed,910 W Huron St,60642,"80 lb Weight Limit,80 lb Weight Limit,Built in 2009,Renovated in Mar 2011,142 Units/15 Stories,Maintenance on site,Concierge,Storage Space,Sundeck,Fitness Center,High Speed Internet Access,Washer/Dryer,Air Conditioning,Heating,Smoke Free,Kitchen,Range,Refrigerator,Walk-In Closets,Balcony",1 Bed,41.8952865,-87.6504916,ROOFTOP,"910 W Huron St, Chicago, IL 60642, USA",17031243500,17031243500,Census Tract 2435,Yes
1363,"Kenect Chicago, Chicago, IL",https://www.apartments.com/kenect-chicago-chicago-il/2szehw8/,"$3,124 - 3,840","3,124","3,840",2 Bed,500 N Milwaukee Ave,60622,"Community Room,Coworking Lounge,Dog Run,Fire Pit,Fitness Center with Cardio Equipment and Free ...,Fitness Center with Cardio Equipment and Free Weights,Landscaped Roof Deck,Outdoor Kitchens,Outdoor Television,Party Room with Kitchen,Social Space,Swimming Pool,Yoga Room,2 Pet Limit,Built in 2016,227 Units/14 Stories,Package Service,Maintenance on site,Concierge,24 Hour Availability,Pet Play Area,Elevator,Business Center,Clubhouse,Lounge,Storage Space,Sundeck,Fitness Center,Free Weights,Pool,Bike Storage,High Speed Internet Access,Washer/Dryer,Air Conditioning,Wheelchair Accessible (Rooms),Breakfast Nook,Balcony",2 Bed,41.8911996,-87.6476308,RANGE_INTERPOLATED,"500 N Milwaukee Ave, Chicago, IL 60654, USA",17031243500,17031243500,Census Tract 2435,Yes
